확장 대상 192개사, 최근 [2024, 2025] 개년만
  30121 자동차 제조업(완성차): 2개사
  303 자동차 부품 제조업: 91개사
  212 완제 의약품 제조업: 99개사
[적재] 코미팜 FY2024: KAM 섹션 834자
[스킵] 코미팜 FY2025: 사업보고서(12월 결산) 없음
[적재] 코아스템켐온 FY2024: KAM 섹션 717자
[적재] 코아스템켐온 FY2025: KAM 섹션 729자
[적재] 킵스파마 FY2024: KAM 섹션 1175자
[적재] 킵스파마 FY2025: KAM 섹션 1120자
[적재] 테라젠이텍스 FY2024: KAM 섹션 878자
[적재] 테라젠이텍스 FY2025: KAM 섹션 879자
[적재] 텔콘RF제약 FY2024: KAM 섹션 750자
[적재] 텔콘RF제약 FY2025: KAM 섹션 722자
[적재-KAM없음] 파마리서치바이오 FY2024: 핵심감사사항 섹션 못 찾음
[적재-KAM없음] 파마리서치바이오 FY2025: 핵심감사사항 섹션 못 찾음
[적재] 파멥신 FY2024: KAM 섹션 757자
[적재] 파멥신 FY2025: KAM 섹션 658자
[적재-KAM없음] 팜젠사이언스 FY2024: 핵심감사사항 섹션 못 찾음
[적재] 팜젠사이언스 FY2025: KAM 섹션 729자
[적재] 팬젠 FY2024: KAM 섹션 621자
[적재] 팬젠 FY2025: KAM 섹션 732자
[적재] 폴라리스AI파마 FY2024: KAM 섹션 721자
[적재] 폴라리스AI파마 FY2025: KAM 섹션 600자
[적재] 풍전약품 FY2024: KAM 섹션 582자
[적재] 풍전약품 FY2025: KAM 섹션 708자
[적재] 퓨쳐켐 FY2024: KAM 섹션 773자
[적재] 퓨쳐켐 FY2025: KAM 섹션 773자
[스킵] 프레스티지바이오로직스 FY2024: 사업보고서(12월 결산) 없음
[스킵] 프레스티지바이오로직스 FY2025: 사업보고서(12월 결산) 없음
[적재] 하나제약 FY2024: KAM 섹션 667자
[적재] 하나제약 FY2025: KAM 섹션 667자
[적재-KAM없음] 한국유니온제약 FY2024: 핵심감사사항 섹션 못 찾음
[적재-KAM없음] 한국유니온제약 FY2025: 핵심감사사항 섹션 못 찾음
[적재] 한국파마 FY2024: KAM 섹션 676자
[적재] 한국파마 FY2025: KAM 섹션 774자
